gtin,product_id,price,price_per_unit,price_unit,description,review_count,availability,currency,sku,brand,weight,rating_score,condition,name,category
3600523560837,6345143,9.95,9.21,10g,"Natural sun-kissed look, all year long. Matte bronzer without shimmer or glitter, perfect for your no-makeup makeup look. Perfect for contouring. Buildable powder formula. 84% natural ingredients including coconut.
It's time to skip the snooze button and get up and glow, with New Back to Bronze Matte Bronzing Powder. A soft matte bronzer for a summertime ‘tanned' look all-year - no sun needed! Matte bronzing formula with no shimmer or glimmer, perfect for your no-makeup makeup look.The matte powder is super-buildable, so you can customise your bronzed look with ease. Apply the bronzer over your cheeks, chin and forehead for a warm, glowing look, or use it in the hollows of your cheeks and under the jawline for a sculpted contour.A flush of bronze that's so natural, so luminous…they'll think you woke up like this!",134,InStock,£,1000116564043,L'Oreal,10.8g,4.6493,NewCondition,L'Oreal Paris Back To Bronze Matte Bronzing Powder,Toiletries & Beauty
3600524134907,9063031,3,1.2,100ml,"Powered with Salicylic & Hyaluronic Acids. Airy lengths with no weigh down. Non-greasy formula1. Effective on all hair types, ranging from straight, wavy, curly, and coily.
Washed your hair yesterday and roots already greasy?Discover NEW Elvive Hydra Pure 72h Rehydrating Conditioner by L'Oréal Paris! Inspired by skincare, our formula is powered with Salicylic Acid, which helps remove excess oil and impurities & Hyaluronic Acid for a boost of moisture.The result?The Hydra Pure range provides up to 72h of a purified scalp & hydrated lengths1 without stripping natural moisture and no weigh down.What makes it effective?Grease or oil is totally natural and helps to moisturise your hair and scalp. However, it is important to regularly wash your hair to prevent excess build up. After purifying your scalp with our Hydra Pure scalp serum & shampoo, this non-greasy conditioner is scientifically proven to intensely rehydrate and provide airy lengths with no weigh down.Suitable for all:Effective on all hair types, ranging from straight, wavy, curly, and coily.Up to 72H of a purified scalp & hydrated lengths11Consumer test on 59 users, 72h after use of the serum + shampoo + conditioner.",195,InStock,£,1000383210171,L'Oreal Elvive,250ml,4.7538,NewCondition,L'Oreal Elvive Hydra Pure 72h Rehydrating Conditioner 250ml,Toiletries & Beauty
3600521961216,3538275,11.95,4.43,10g,"Millionizer brush to coat each lash one by one. Excess wiper for volumized appearance with no clump.
Millionize your lashes with L'Oréal Paris mascara: Volume Million Lashes. The Millionizer Brush has a multitude of bristles which separate lashes for a fanned-out effect. The elastomer applicator is ultra flexible with both long and short bristles to coat lashes. The Excess Wiper removes excess mascara: no overload, no clumps. It leaves the brush coated with just the right amount of formula to achieve a volumized appearance with no overload and no clumps.",2,InStock,£,910000400947,L'Oreal,27g,3,NewCondition,L'Oreal Volume Million Lashes Waterproof Black,Toiletries & Beauty
3600523335671,5516486,12,12,each,"Up to 8 weeks of fade-defying colour Lustrous day-1 colour and shine Ultra-intense.
L'Oreal Paris Preference, the expert of permanent, fade-defying luminous hair colour. Our translucent gel technology together with our precious shine oil give the ultimate luminous colour full of reflects. Use the shine protect conditioner enriched with a UV filter and Vitamin E derivative to preserve the shine of your coloured hair for up to 8 weeks. Our Shine Oil is enriched with precious flower oils to intensify the natural tones of your hair colour. Infused with a sensorial fragrance for an improved experience at application. Be colour safe and always do your 48-hour patch test. Born in the 1970's, Preference has over 50 years of creating at home hair colour proven to give you a fade defying- multi-tonal colour result. The iconic ‘You're Worth It' tagline was created for Preference 50 years ago and still to this day remains at the heart of the brand. Be colour safe and always do your 48 hour patch test.",954,InStock,£,910002552710,L'Oreal Preference,each,4.2076,NewCondition,L'Oreal Preference Infinia P74 Mango Intense Copper Hair Dye,Toiletries & Beauty
3600524015206,7450239,9,9,each,"Long-lasting, high-intensity red hair dye.
Colorista is now Preference Vivids. Our Preference expertise is at the service of Vivid Colours. Get a Bright Red bold colour with radiance that holds for up to 8 weeks*. Preference Vivids leverages our loved Preference Liquid Gel technology with dyes selected by our colourist experts for up to 3X shinier hair and a luminous colour result you can trust. Preference Vivids also comes with a Shine Protect conditioner, enriched with UV filter and Vitamin E Derivative to maintain the radiance of your coloured hair for up to 8 weeks. Bright Red was inspired by the famous, bright and authentic red Moulin Rouge, located at the bottom of Montmartre hill. Be colour safe and always do your 48-hour patch test. - Our Preference expertise is now at the service of Vivid Colours. Get a Bright Red bold colour with radiance that holds for up to 8 weeks*- Preference Vivids leverages our loved Preference Liquid Gel technology with dyes selected by our colourist experts for up to 2X shinier hair and a luminous colour result you can trust- Preference Vivids also comes with a Shine Protect conditioner, enriched with UV filter and Vitamin E Derivative to maintain the radiance of your coloured hair for up to 8 weeks*Instrumental TestBright Red was inspired by the famous, bright and authentic red Moulin Rouge, located at the bottom of Montmartre hill",45,OutOfStock,£,1000383118292,L'Oreal Preference,each,4.2667,NewCondition,L'Oreal Preference Vivids (Colorista) Permanent Gel Hair Dye Bright Red 8.624,Toiletries & Beauty
3600523682768,6312468,3,1.5,100ml,"Purple Shampoo & Conditioner Set for highlighted brunette, blonde & grey hair. Nourishes hair & neutralises brassy tones leaving hair looking bright and beautiful. Starts working in just one use. Use once a week to complement your regular Elvive Colour Protect routine.
Introducing Purple Shampoo from Elvive Colour Protect, Britain's number 1 for coloured hair.*Highlighted brunette, blonde, and grey hair can become yellow and brassy over time.How does it work? Purple colour is the opposite to yellow on the colour wheel, the purple within the Purple shampoo formula helps neutralise yellow tones.Our new specialist colour correcting Purple formula nourishes hair & neutralises unwanted yellow, orange, and brassy tones in just one use, to help leave hair looking bright and beautiful.Suitable for blonde, highlighted, and silver hair.*©2018 Nielsen data, value & units, Haircare (client defined) 52 w/e 06/10/18 GB Total Coverage",115,InStock,£,1000106846408,L'Oreal Elvive,200ml,4.4522,NewCondition,L'Oreal Elvive Colour Protect Anti-Brassiness Purple Shampoo,Toiletries & Beauty
3600523614516,6182517,13.95,4.65,10ml,"SPF 25. Transfer-proof and water-proof. With vitamin C. Lasts up to 32H. Full coverage yet lightweight.
Meet L'Oreal Paris Infallible 32H Fresh wear foundation, with vitamin C. A full coverage yet lightweight foundation. It's transfer-proof and water-proof so you get more from your makeup. The innovative oxygen technology gives a lightweight feel whilst the ultra - stretchable formula ensures full coverage application - so a little goes a long way. Life doesn't compromise, so now your makeup doesn't either. SPF 25.",67,InStock,£,1000070824757,L'Oreal,30ml,4.403,NewCondition,L'Oreal Paris Infallible 24hr Freshwear Liquid Foundation 125 Natural Rose,Toiletries & Beauty
30147942,7310726,9.95,3.98,10g,"Up to 16 hour wear. Transfer-resistant finish. Infused with hyaluronic acid. Lips feel moisturised all day. Slim design for precise application.
Color riche goes slimer, more longwear, more hydrating and more matte with Color Riche Intense Volume Matte. A matte with up to 16 hour wear infused with a caring formula, infused with hyaluronic acid, to keep lips feeling moisturised all day. The matte of your dreams: powdery, lightweight and creamy. This lipstick volumizes lips for plumper looking lips all day with a transfer-resistant finish. Never flat. Never dry. The new slim packaging allows for easier, more precise application, to accentuate your lip shape. A new lipstick designed for women who believe in their choices. Available in 12 intense, powdery matte shades of conviction that beautify every lip tone.",0,InStock,£,1000362425276,L'Oreal Paris,25g,0,NewCondition,L'Oreal Paris Color Riche Intense Volume Matte 16hr Volumizing Matte Lipstick 640 Nude Independence,Toiletries & Beauty
30173422,7310696,10.95,7.67,10g,null,0,InStock,£,1000362425176,L'Oreal Paris,14.28g,0,NewCondition,L'Oreal Paris Infallible 24H More Than Concealer 326 Vanilla,Toiletries & Beauty
30173484,7310698,10.95,7.67,10g,null,27,InStock,£,1000362425048,L'Oreal Paris,14.28g,4.4074,NewCondition,L'Oreal Paris Infallible 24H More Than Concealer 338 Honey,Toiletries & Beauty
